更新时间,#genre#
20260810-05-54-07,url


RespoTime,whitelist,#genre#
485.61ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
475.99ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
485.85ms,CCTV1,http://114.226.212.150:8787/rtp/239.49.8.19:9614
496.79ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
517.55ms,CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
423.27ms,CCTV1,http://121.29.215.140:2083/rtp/239.253.92.83:8012
483.67ms,CCTV1,http://121.237.244.148:8888/rtp/239.49.8.19:9614
389.45ms,CCTV1,https://t.freetv.fun/live/cctv-1.m3u8
302.71ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
486.47ms,CCTV1,http://124.112.188.49:4022/rtp/238.1.78.166:7200
536.24ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
432.38ms,CCTV1,http://60.4.31.149:8077/rtp/239.253.92.83:8012
517.51ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
504.18ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
507.08ms,CCTV1,http://121.237.244.148:8888/rtp/239.49.8.129:6000
156.06ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
515.90ms,CCTV1,http://171.8.169.124:8800/rtp/239.16.20.1:10010
515.54ms,CCTV1,http://114.226.212.152:8787/rtp/239.49.8.129:6000
272.42ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
526.21ms,CCTV1,http://114.226.212.152:8787/rtp/239.49.8.19:9614
513.98ms,CCTV1,http://114.226.212.150:8787/rtp/239.49.8.129:6000
217.56ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
332.50ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
486.75ms,CCTV1,http://116.2.168.173:4010/rtp/232.0.0.27:1234
517.52ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
126.74ms,CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
138.76ms,CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
209.61ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
124.62ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
212.27ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
494.30ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
466.29ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
